StudyHours,Attendance,PastScore,Internet,SleepHours,Passed
6,49,40,Yes,9,No
6,61,38,No,6,No
1,88,27,No,6,No
2,86,68,No,7,No
2,98,64,No,8,No
2,77,97,No,7,Yes
5,96,56,Yes,7,Yes
4,70,59,No,7,No
1,57,76,No,3,No
6,63,23,Yes,5,No
10,87,32,No,6,Yes
1,99,49,Yes,3,No
10,52,31,No,9,No
8,99,67,Yes,5,Yes
6,77,85,Yes,7,Yes
10,67,73,Yes,5,Yes
5,75,93,Yes,6,Yes
10,61,96,Yes,7,Yes
2,71,90,No,10,Yes
5,50,53,Yes,4,No
10,82,67,No,9,Yes
9,49,80,Yes,10,Yes
9,68,51,No,9,Yes
10,79,36,No,8,Yes
4,64,21,No,8,No
6,40,38,No,4,No
2,75,57,Yes,8,No
5,95,29,No,3,No
4,81,33,Yes,6,No
7,81,72,Yes,4,Yes
3,68,29,No,4,No
6,84,59,No,4,No
1,56,62,Yes,9,No
2,40,34,No,3,No
8,80,83,Yes,10,Yes
9,45,38,Yes,5,No
1,67,38,No,6,No
6,88,93,Yes,4,Yes
3,44,30,Yes,4,No
4,46,30,Yes,8,No
6,89,91,Yes,10,Yes
3,41,29,No,7,No
6,49,84,No,8,Yes
5,54,22,No,7,No
3,59,45,No,9,No
9,41,69,No,8,Yes
6,77,99,No,9,Yes
4,44,30,Yes,10,No
8,68,32,No,9,No
8,54,30,Yes,3,No
1,55,24,No,10,No
3,83,81,No,9,Yes
5,90,77,No,3,No
6,47,90,Yes,6,Yes
6,96,23,Yes,6,No
1,68,66,No,3,No
8,95,27,Yes,3,No
2,69,90,No,5,No
5,41,67,Yes,10,No
3,44,22,No,7,No
2,72,91,No,4,No
